Hello from premain
------------------------------------------------------------
name: okhttp3.OkHttpClient$Builder
canonicalName: okhttp3.OkHttpClient.Builder
simpleName: Builder
typeName: okhttp3.OkHttpClient$Builder
------------------------------------------------------------
[Byte Buddy] IGNORE kotlin.collections.AbstractCollection [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE kotlin.collections.AbstractCollection [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.collections.AbstractList$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE kotlin.collections.AbstractList$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE kotlin.collections.AbstractList$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.Options$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.Options$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.Options$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.ByteString [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.ByteString [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.ByteString [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.ByteString$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.ByteString$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.ByteString$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.internal._ByteStringKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.internal._ByteStringKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.internal._ByteStringKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.collections.ArraysKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE kotlin.collections.ArraysKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE kotlin.collections.ArraysKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
